0x1000,0xa,0
0x1017,0x4,0
0x1027,0x4,0
0x104c,0x4,0
0x1059,0x4,0
0x105d,0x8,0
0x10fb,0x8,0
0x1119,0x04,0
0x1123,0x04,0
0x2d152,0xa,0
0x2d160,0x8,0
0x2d2d0,0x8,0
0x2d3d0,0x8,0
0x2d450,0x8,0
0x2d460,0x8,0
0x2d488,0x8,0
0x2d4a0,0x10,0
0x2d4b0,0x10,0
0x2d4c0,0x10,0
0x2d4d0,0x10,0
0x2d4e0,0x10,0
0x2d4f0,0x10,0
0x2d500,0x10,0
0x2d550,0x10,0
0x2d570,0x10,0
0x2d5a8,0x8,0
0x2d5e0,0xa0,0
0x2d680,0x8,0
0x2d690,0x28,0
0x2d700,0x10,0
0x2d720,0x20,0
0x2d740,0x8,0
0x2d748,0x8,0
0x2d750,0x8,0
0x2d758,0x8,0
0x2d760,0x8,0
0x2d780,0x8,0
0x2d7a0,0x8,0
0x2d7a8,0x8,0
0x2d7b0,0x8,0
0x2d7b8,0x8,0
0x2d7c0,0x8,0
0x2d7c8,0x8,0
0x2d7e0,0x8,0
0x2d7e8,0x8,0
0x2d7f8,0x8,0
